City,Region,State,CBSA,Index (Mean & All),Index (Total & All),Index (Mean & Female),Index (Total & Female),Index (Mean & LGBT),Index (Total & LGBT),Mean Funding (in M's),Mean Jobs,Mean Patents,Mean Exits (in M's),Total Funding (in B's),Total Jobs (in K's),Total Patents,Total Exits (in M's),All Entre- preneurs,Female Entre- preneurs,LGBT Entre- preneurs,GDP Per Capita (update with Census data),Population (in millions) (update with Census data)
Albany,Mideast,NY,"Albany-Schenectady-Troy, NY",38,40,12,34,5,3,3.6,26.59,0.27,4,0.47,4,44,28,165,18,0,65000,1.2
Albuquerque,Southwest,NM,"Albuquerque, NM",71,70,94,66,86,89,5.4,12.18,2.06,5.9,1,2.2,400,200,195,17,1,47000,1.2
Allentown,Mideast,PA,"Allentown-Bethlehem-Easton, PA-NJ",69,70,98,98,6,4,4.3,12.07,1.33,6.4,0.45,917,117,250,90,14,0,53000,0.84
Asheville,Southeast,NC,"Asheville, NC",48,45,31,48,5,4,5.7,34.88,0.01,5.9,0.38,2.4,1,0,72,8,0,44000,0.49
Atlanta,Southeast,GA,"Atlanta-Sandy Springs-Alpharetta, GA",94,91,78,60,64,11,12,57.66,0.85,7.9,22,120,1800,4500,2200,206,4,65000,6.6
Austin,Southwest,TX,"Austin-Round Rock-Georgetown, TX",88,85,55,56,87,74,10,43.21,0.77,7.6,31,140,2600,9900,3400,369,17,68000,2.2
Baltimore,Mideast,MD,"Baltimore-Columbia-Towson, MD",70,65,80,73,5,3,9.4,22.17,0.6,6.1,7.2,18,511,270,857,102,0,73000,2.8
Bend,Far West,OR,"Bend, OR",47,52,32,83,5,4,6.3,18.97,0.26,6.1,0.58,1.9,26,320,104,21,0,49000,0.22
Birmingham,Southeast,AL,"Birmingham-Hoover, AL",90,80,21,50,5,3,17,54.13,0.23,9.7,2.5,8.1,36,57,159,20,0,55000,1.4
Bloomington,Great Lakes,IN,"Bloomington, IN",64,70,3,24,5,3,5,66.07,0.4,2.1,0.29,3.9,25,27,62,6,0,44000,0.21
Boise City,Rocky Mountain,ID,"Boise City, ID",88,84,91,62,5,3,6.4,40.97,0.96,11,0.85,5.5,145,810,153,14,0,47000,0.81
Boston,New England,MA,"Boston-Cambridge-Newton, MA-NH",96,95,89,79,90,4,17,92.92,0.96,8.8,170,910,9800,52000,10000,1200,3,80000,8.3
Buffalo,Mideast,NY,"Buffalo-Cheektowaga, NY",50,61,11,37,12,9,8.3,37.15,0.18,1.3,1.5,6.9,34,34,189,22,1,61000,1.2
Burlington,New England,VT,"Burlington-South Burlington, VT",23,225,40,74,6,4,3.7,8.33,0.1,4.5,0.45,966,14,8,142,23,0,62000,1.1
Cape Coral,Southeast,FL,"Cape Coral-Fort Myers, FL",68,64,4,22,5,4,5.9,32.37,0.6,6.7,0.34,1.9,38,120,65,5,0,43000,1.2
Cedar Rapids,Plains,IA,"Cedar Rapids, IA",86,84,88,73,5,3,5,54.23,1.74,3.8,0.39,4,146,0,84,9,0,67000,0.45
Champaign,Great Lakes,IL,"Champaign-Urbana, IL",36,36,17,29,5,4,2,16.19,0.48,5.3,0.19,1.5,48,0,101,6,0,51000,0.24
Charleston,Southeast,SC,"Charleston-North Charleston, SC",32,38,97,89,5,3,4.5,20.19,0.21,3,0.91,4.1,44,9,214,27,0,54000,0.79
Charlotte,Southeast,NC,"Charlotte-Concord-Gastonia, NC-SC",86,86,5,26,5,3,11,30.29,0.95,6.6,3.3,9.9,315,1200,339,32,0,66000,2.7
