FIPS MSA/CMSA,Area Name,Est. Population,Pop. Est. Base,Change,Perc. Change
,United States...............................................,"272,690,813","248,790,925","23,899,888",9.6
,Metropolitan................................................,"218,606,870","198,478,073","20,128,797",10.1
,Nonmetropolitan.............................................,"54,083,943","50,312,852","3,771,091",7.5
40,"Abilene, TX MSA.............................................","122,478","119,655","2,823",2.4
120,"Albany, GA MSA..............................................","117,421","112,571","4,850",4.3
160,"Albany-Schenectady-Troy, NY MSA.............................","869,474","861,623","7,851",0.9
200,"Albuquerque, NM MSA.........................................","678,820","589,131","89,689",15.2
220,"Alexandria, LA MSA..........................................","126,775","131,556","-4,781",-3.6
240,"Allentown-Bethlehem-Easton, PA MSA..........................","618,350","595,043","23,307",3.9
280,"Altoona, PA MSA.............................................","129,937","130,542",-605,-0.5
320,"Amarillo, TX MSA............................................","208,691","187,514","21,177",11.3
380,"Anchorage, AK MSA...........................................","257,808","226,338","31,470",13.9
450,"Anniston, AL MSA............................................","116,541","116,032",509,0.4
460,"Appleton-Oshkosh-Neenah, WI MSA.............................","348,100","315,121","32,979",10.5
480,"Asheville, NC MSA...........................................","215,180","191,310","23,870",12.5
500,"Athens, GA MSA..............................................","140,372","126,262","14,110",11.2
520,"Atlanta, GA MSA.............................................","3,857,097","2,959,500","897,597",30.3
580,"Auburn-Opelika, AL MSA......................................","102,164","87,146","15,018",17.2
600,"Augusta-Aiken, GA-SC MSA....................................","460,826","415,220","45,606",11
640,"Austin-San Marcos, TX MSA...................................","1,146,050","846,227","299,823",35.4
680,"Bakersfield, CA MSA.........................................","642,495","544,981","97,514",17.9
730,"Bangor, ME MSA..............................................","91,672","92,083",-411,-0.4
740,"Barnstable-Yarmouth, MA MSA.................................","153,750","134,921","18,829",14
760,"Baton Rouge, LA MSA.........................................","578,946","528,261","50,685",9.6
840,"Beaumont-Port Arthur, TX MSA................................","376,256","361,218","15,038",4.2
860,"Bellingham, WA MSA..........................................","160,310","127,780","32,530",25.5
870,"Benton Harbor, MI MSA.......................................","159,709","161,378","-1,669",-1
880,"Billings, MT MSA............................................","127,258","113,419","13,839",12.2
920,"Biloxi-Gulfport-Pascagoula, MS MSA..........................","353,205","312,368","40,837",13.1
960,"Binghamton, NY MSA..........................................","247,462","264,497","-17,035",-6.4
1000,"Birmingham, AL MSA..........................................","915,077","839,942","75,135",8.9
1010,"Bismarck, ND MSA............................................","91,939","83,831","8,108",9.7
1020,"Bloomington, IN MSA.........................................","116,923","108,978","7,945",7.3
1040,"Bloomington-Normal, IL MSA..................................","145,477","129,180","16,297",12.6
1080,"Boise City, ID MSA..........................................","407,844","295,851","111,993",37.9
1122,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA.................","5,667,225","5,455,535","211,690",3.9
1240,"Brownsville-Harlingen-San Benito, TX MSA....................","329,131","260,120","69,011",26.5
1260,"Bryan-College Station, TX MSA...............................","134,213","121,862","12,351",10.1
1280,"Buffalo-Niagara Falls, NY MSA...............................","1,142,121","1,189,340","-47,219",-4
1305,"Burlington, VT MSA..........................................","165,917","151,309","14,608",9.7
1320,"Canton-Massillon, OH MSA....................................","402,460","394,106","8,354",2.1
1350,"Casper, WY MSA..............................................","63,157","61,226","1,931",3.2
1360,"Cedar Rapids, IA MSA........................................","184,891","168,767","16,124",9.6
1400,"Champaign-Urbana, IL MSA....................................","170,272","173,025","-2,753",-1.6
1440,"Charleston-North Charleston, SC MSA.........................","552,803","506,877","45,926",9.1
1480,"Charleston, WV MSA..........................................","251,199","250,454",745,0.3
