(MA-99-3a) Population Estimates for Metropolitan Areas and Components, Annual Time Series
           April 1, 1990 to July 1, 1999 (includes April 1, 1990 Population Estimates Base)
     
Source:   Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC 20233
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
          pop@census.gov (Please include a telephone number with email correspondence.)
     
Internet Release Date:  October 20, 2000
     
Block 1 of 2:  Population Estimates for the Years 1994-1999

                                                --------------------------Estimated Population--------------------------
Area Name                                             7/1/99      7/1/98      7/1/97      7/1/96      7/1/95      7/1/94
                                                                                                                        
United States................................... 272,690,813 270,248,003 267,783,607 265,228,572 262,803,276 260,327,021
Metropolitan.................................... 218,606,870 216,417,205 214,250,854 212,052,889 210,042,173 208,088,284
Nonmetropolitan.................................  54,083,943  53,830,798  53,532,753  53,175,683  52,761,103  52,238,737
Abilene, TX MSA.................................     122,478     122,036     121,579     121,206     122,098     120,891
  Taylor County, TX.............................     122,478     122,036     121,579     121,206     122,098     120,891
Albany, GA MSA..................................     117,421     117,786     117,453     117,005     116,383     116,278
  Dougherty County, GA..........................      94,080      95,019      95,549      96,304      96,602      97,405
  Lee County, GA................................      23,341      22,767      21,904      20,701      19,781      18,873
Albany-Schenectady-Troy, NY MSA.................     869,474     870,628     872,823     876,928     880,009     880,857
  Albany County, NY.............................     292,006     293,025     294,525     296,162     298,406     299,166
  Montgomery County, NY.........................      50,369      50,777      51,238      51,683      51,971      52,016
  Rensselaer County, NY.........................     151,445     152,203     152,912     154,281     154,410     155,061
  Saratoga County, NY...........................     199,733     197,436     195,661     194,710     193,910     192,487
  Schenectady County, NY........................     143,871     145,112     146,231     147,367     148,671     149,361
  Schoharie County, NY..........................      32,050      32,075      32,256      32,725      32,641      32,766
Albuquerque, NM MSA.............................     678,820     676,530     673,182     667,210     658,895     644,959
  Bernalillo County, NM.........................     523,472     524,686     525,206     524,576     522,195     515,700
  Sandoval County, NM...........................      90,253      88,037      85,856      83,125      79,794      76,125
  Valencia County, NM...........................      65,095      63,807      62,120      59,509      56,906      53,134
Alexandria, LA MSA..............................     126,775     126,475     126,363     126,243     126,643     125,893
  Rapides Parish, LA............................     126,775     126,475     126,363     126,243     126,643     125,893
Allentown-Bethlehem-Easton, PA MSA..............     618,350     616,050     614,495     612,655     611,227     610,548
  Carbon County, PA.............................      58,759      58,690      58,800      58,572      58,529      58,546
  Lehigh County, PA.............................     299,855     298,792     298,201     297,273     296,885     297,524
  Northampton County, PA........................     259,736     258,568     257,494     256,810     255,813     254,478
Altoona, PA MSA.................................     129,937     130,547     130,953     131,234     131,917     132,218
  Blair County, PA..............................     129,937     130,547     130,953     131,234     131,917     132,218
Amarillo, TX MSA................................     208,691     207,068     206,102     204,692     203,016     197,631
  Potter County, TX.............................     109,107     108,289     108,431     108,308     107,445     103,450
  Randall County, TX............................      99,584      98,779      97,671      96,384      95,571      94,181
Anchorage, AK MSA...............................     257,808     255,618     251,359     249,571     251,009     251,481
  Anchorage Borough, AK.........................     257,808     255,618     251,359     249,571     251,009     251,481
Anniston, AL MSA................................     116,541     117,083     117,132     116,577     116,687     116,078
  Calhoun County, AL............................     116,541     117,083     117,132     116,577     116,687     116,078
Appleton-Oshkosh-Neenah, WI MSA.................     348,100     344,858     342,007     339,304     335,586     331,630
  Calumet County, WI............................      39,029      38,468      37,998      37,550      37,044      36,657
  Outagamie County, WI..........................     158,480     156,395     154,308     152,556     150,353     148,152
  Winnebago County, WI..........................     150,591     149,995     149,701     149,198     148,189     146,821
Asheville, NC MSA...............................     215,180     213,232     210,952     209,093     206,502     203,406
  Buncombe County, NC...........................     196,274     194,456     192,524     190,812     188,569     185,785
  Madison County, NC............................      18,906      18,776      18,428      18,281      17,933      17,621
Athens, GA MSA..................................     140,372     138,649     138,054     136,489     134,583     133,262
  Clarke County, GA.............................      90,638      90,516      90,696      90,218      89,954      90,206
